clientid,income,age,loan,default
1855,54957.44967,59.50636724,6976.463275,0
112,41631.6663,53.04765477,106.0907472,0
1630,42775.52551,39.22708316,6145.987757,0
844,37598.38508,54.66392931,3641.808411,0
818,37087.26876,57.5763008,6391.153194,0
1003,63166.99496,56.51003993,4058.789534,0
1522,49240.7625,53.25457982,8004.35984,0
1136,30451.63616,42.19713668,475.4205917,0
814,32834.64674,60.58021867,4184.578203,0
1315,20904.55548,41.0178787,2606.023776,0
1079,57914.73107,50.61159971,6715.857908,0
919,23973.68759,55.28829775,95.46072238,0
1820,57240.75694,41.57139076,313.6279418,0
611,24294.67689,22.26309561,4360.053009,1
1572,40716.19089,25.80565159,2389.700759,0
442,60929.17235,60.05877767,11146.07446,0
924,49369.70415,51.37341727,109.3796228,0
784,36029.30158,52.64062442,2928.100439,0
1328,44047.66656,27.31337199,2096.917501,0
1601,38157.02968,51.52814013,5628.012004,0
810,37145.57306,53.19827894,1510.735507,0
324,26581.61453,61.95337375,5090.392774,0
1947,30047.81941,51.07732459,5768.742735,0
1101,60063.69309,59.11464434,6766.294181,0
198,35045.13141,28.65328366,2382.466772,0
845,61323.0009,60.16601647,8699.946682,0
1115,37887.54939,24.4157261,5061.777831,1
912,23087.3014,37.61963726,423.4183995,0
993,63114.49699,48.35108283,11890.75719,0
332,24698.66931,48.91255747,2427.650788,0
1199,24951.25749,62.04114048,2544.356003,0
1059,53298.49615,56.90970733,2106.709791,0
986,31763.3692,35.60251728,3489.404122,0
1173,64392.51221,37.80218224,4513.243712,0
1343,39545.95959,43.70086672,5787.658045,0
1039,60264.94065,54.72136343,2241.388144,0
1991,34237.57542,34.10165393,2658.090632,0
1098,22228.34529,33.35945709,2187.213337,0
1561,66981.413,27.48095465,6678.5628,0
829,68100.73562,47.75294027,8124.59898,0
870,65000.81962,21.69969953,1114.914824,0
1417,20595.93458,45.47522442,1330.067638,0
185,61167.77482,20.58363144,10396.61815,1
1341,40081.42056,43.11674328,770.7775496,0
1852,40522.82828,63.88714083,7720.780489,0
83,36801.90718,43.02794342,5406.344926,0
409,26680.14584,47.76173998,1671.184924,0
651,20346.46905,35.71607365,656.0331879,0
55,24912.84268,49.3663712,267.6962986,0
113,68762.41666,20.99124336,2796.752303,0
921,33585.47474,60.37738544,3933.883012,0
894,49972.01083,32.39698399,763.9541159,0
822,57426.68048,20.1188451,2461.974406,0
610,57628.43892,23.98656393,5021.639683,0
1162,28451.70557,41.60107543,1042.850376,0
294,31657.6193,37.77866429,1448.071984,0
1683,47770.71142,33.94936609,5366.868793,0
1698,39762.52658,25.66994986,3809.347155,0
916,55730.62923,55.15643796,9286.357545,0
1105,53654.07937,44.13723421,6587.775556,0
1980,33702.53183,48.14840359,922.0365897,0
282,62889.36214,33.2456503,6525.151793,0
918,49746.88744,29.36146193,7354.129523,1
984,37277.24612,26.63314682,6289.256076,1
1936,33707.80104,59.91764355,321.5789312,0
216,46643.12648,53.40508337,6440.861434,0
1281,62693.26958,22.52686485,5321.712558,0
