iter	Logloss
0	0.6174150714
1	0.5543594027
2	0.5034671878
3	0.4565898779
4	0.4196702271
5	0.3876342773
6	0.3543626322
7	0.3269758155
8	0.3015838801
9	0.2813938369
10	0.2625182484
11	0.2455859011
12	0.2302824462
13	0.2157455955
14	0.2023543312
15	0.19115438
16	0.1803076576
17	0.1696272937
18	0.1608203849
19	0.1529633857
20	0.144480765
21	0.1362355439
22	0.1302009483
23	0.123154897
24	0.1180433248
25	0.113037065
26	0.1091890182
27	0.1040942818
28	0.1018618566
29	0.09754005443
30	0.09398219124
31	0.09035084376
32	0.087788822
33	0.0841937669
34	0.08108302842
35	0.0777621762
36	0.07504577859
37	0.07255885139
38	0.07040106539
39	0.06825626157
40	0.0661848754
41	0.0642057305
42	0.06220025475
43	0.060419674
44	0.05913894076
45	0.05782535781
46	0.05670637439
47	0.05572403154
48	0.05461808028
49	0.05334856347
50	0.05232880105
51	0.05159155389
52	0.0501979678
53	0.04927019677
54	0.04808980617
55	0.04726969623
56	0.04648978221
57	0.04545015227
58	0.04452230906
59	0.04403868652
60	0.04336587276
61	0.0429249143
62	0.04233410265
63	0.04152722199
64	0.04073406203
65	0.04022705989
66	0.03964545737
67	0.03918106101
68	0.03887586857
69	0.03821466549
70	0.03781720402
71	0.03735054494
72	0.03688231445
73	0.036461354
74	0.03629274105
75	0.03593937348
76	0.03541256212
77	0.03519187605
78	0.03491357528
79	0.03448040447
80	0.0341117448
81	0.03398187018
82	0.03360678882
83	0.0334119061
84	0.03329620472
85	0.03301925326
86	0.03272126821
87	0.03260123018
88	0.0325229928
89	0.03243742031
90	0.03236885571
91	0.03229441081
92	0.03207471867
93	0.03202506653
94	0.03196561389
95	0.03162781606
96	0.03157237246
97	0.03129160907
98	0.03124029945
99	0.03119151353
