iter	Passed	Remaining
0	136	13554
1	138	6809
2	141	4564
3	143	3439
4	145	2763
5	147	2313
6	150	2000
7	152	1754
8	154	1564
9	156	1410
10	158	1286
11	160	1180
12	163	1091
13	165	1019
14	168	952
15	170	893
16	172	841
17	174	795
18	176	753
19	179	719
20	181	683
21	183	651
22	185	621
23	187	594
24	189	569
25	192	546
26	194	526
27	197	507
28	199	488
29	201	469
30	203	453
31	205	436
32	207	421
33	210	409
34	213	395
35	215	382
36	217	370
37	219	358
38	221	346
39	223	335
40	227	327
41	229	316
42	231	307
43	233	297
44	235	288
45	238	279
46	241	272
47	243	264
48	245	255
49	248	248
50	250	240
51	252	232
52	254	225
53	258	219
54	260	213
55	262	206
56	264	199
57	266	193
58	268	186
59	270	180
60	273	174
61	275	168
62	277	162
63	279	157
64	281	151
65	283	146
66	285	140
67	289	136
68	291	130
69	293	125
70	295	120
71	298	115
72	300	110
73	303	106
74	305	101
75	307	96
76	309	92
77	311	87
78	313	83
79	315	78
80	317	74
81	319	70
82	321	65
83	323	61
84	325	57
85	328	53
86	330	49
87	332	45
88	335	41
89	337	37
90	339	33
91	341	29
92	343	25
93	345	22
94	360	18
95	362	15
96	366	11
97	368	7
98	370	3
99	372	0
