iter	Passed	Remaining
0	4	4143
1	7	3909
2	11	3902
3	15	3796
4	19	3859
5	22	3782
6	26	3738
7	29	3705
8	33	3686
9	36	3662
10	40	3638
11	44	3629
12	47	3614
13	51	3640
14	55	3641
15	59	3662
16	63	3657
17	67	3684
18	71	3678
19	74	3658
20	78	3652
21	82	3673
22	86	3657
23	89	3646
24	93	3629
25	96	3629
26	100	3617
27	103	3604
28	107	3601
29	111	3600
30	115	3599
31	118	3588
32	122	3584
33	125	3577
34	129	3583
35	133	3568
36	137	3568
37	140	3559
38	144	3557
39	148	3552
40	151	3542
41	155	3541
42	159	3540
43	162	3537
44	166	3531
45	169	3523
46	173	3516
47	177	3517
48	180	3511
49	184	3510
50	188	3512
51	193	3520
52	197	3522
53	200	3519
54	204	3514
55	208	3515
56	212	3509
57	217	3529
58	222	3541
59	225	3540
60	229	3528
61	233	3529
62	237	3536
63	242	3540
64	246	3543
65	249	3535
66	253	3532
67	258	3543
68	263	3555
69	267	3554
70	271	3554
71	275	3555
72	279	3550
73	283	3547
74	287	3540
75	290	3533
76	294	3525
77	297	3520
78	301	3519
79	305	3513
80	309	3509
81	313	3504
82	316	3501
83	320	3496
84	324	3495
85	328	3490
86	332	3486
87	335	3478
88	339	3474
89	343	3470
90	347	3466
91	350	3462
92	354	3456
93	357	3448
94	361	3443
95	365	3444
96	369	3438
97	373	3435
98	377	3435
99	381	3437
100	385	3429
101	388	3424
102	392	3419
103	396	3417
104	400	3409
105	403	3406
106	408	3405
107	412	3409
108	416	3403
109	420	3399
110	424	3398
111	429	3406
112	433	3405
113	437	3401
114	441	3396
115	445	3392
116	448	3386
117	452	3380
118	455	3374
119	459	3373
120	463	3368
121	467	3361
122	470	3357
123	474	3353
124	478	3349
125	482	3345
126	486	3341
127	489	3338
128	493	3332
129	496	3325
130	500	3320
131	503	3313
132	507	3310
133	511	3306
134	515	3303
135	519	3298
136	523	3299
137	527	3295
138	531	3292
139	535	3287
140	539	3285
141	543	3281
142	546	3277
143	550	3271
144	554	3268
145	558	3266
146	562	3264
147	566	3258
148	570	3255
149	573	3251
150	577	3245
151	581	3242
152	585	3238
153	589	3236
154	593	3234
155	597	3229
156	601	3229
157	605	3224
158	608	3219
159	612	3216
160	617	3215
161	621	3213
162	625	3210
163	630	3211
164	634	3209
165	638	3208
166	642	3205
167	646	3202
168	650	3197
169	653	3192
170	657	3187
171	661	3183
